1000	  627.00	  223.42	    2.81	
2000	  661.88	  234.57	    2.82	
4000	  670.36	  235.06	    2.85	
8000	  672.45	  236.02	    2.85	
10000	  643.92	  225.82	    2.85	
16000	  673.54	  236.12	    2.85	
32000	  671.29	  235.94	    2.85	
64000	  669.23	  235.74	    2.84	
128000	  672.00	  236.07	    2.85	
256000	  671.36	  231.98	    2.89	
512000	  666.24	  224.83	    2.96	
1024000	  652.79	  229.71	    2.84	
2048000	  622.63	  229.02	    2.72	
4096000	  618.39	  226.73	    2.73	
5000000	  602.74	  224.51	    2.68	
6000000	  596.97	  225.22	    2.65	
8000000	  594.68	  224.17	    2.65




1	1000	  483.12	  233.75	    2.07	
1	2000	  562.76	  234.53	    2.40	
1	4000	  603.35	  235.41	    2.56	
1	8000	  637.92	  236.09	    2.70	
1	10000	  645.12	  236.14	    2.73	
1	16000	  655.68	  236.14	    2.78	
1	32000	  660.31	  236.14	    2.80	
1	64000	  663.57	  235.69	    2.82	
1	128000	  668.96	  236.02	    2.83	
1	256000	  669.10	  235.05	    2.85	
1	512000	  637.47	  232.97	    2.74	
1	1024000	  624.81	  230.80	    2.71	
1	2048000	  621.15	  226.88	    2.74	
1	4096000	  617.89	  226.60	    2.73	
1	5000000	  600.29	  224.28	    2.68	
1	6000000	  600.73	  222.47	    2.70	
1	8000000	  590.10	  220.82	    2.67




2	1000	  372.31	  193.05	    1.93	
2	2000	  723.67	  224.32	    3.23	
2	4000	  906.88	  224.76	    4.03	
2	8000	 1083.42	  225.81	    4.80	
2	10000	 1066.01	  225.85	    4.72	
2	16000	 1163.91	  225.92	    5.15	
2	32000	 1220.94	  225.83	    5.41	
2	64000	 1256.75	  235.75	    5.33	
2	128000	 1259.13	  225.69	    5.58	
2	256000	 1277.40	  226.69	    5.64	
2	512000	 1277.53	  227.54	    5.61	
2	1024000	 1274.35	  224.69	    5.67	
2	2048000	 1241.49	  222.88	    5.57	
2	4096000	 1190.83	  217.07	    5.49	
2	5000000	 1110.87	  215.83	    5.15	
2	6000000	 1089.70	  216.75	    5.03	
2	8000000	 1014.61	  215.36	    4.71



4	1000	  474.16	  223.35	    2.12	
4	2000	  795.22	  224.32	    3.55	
4	4000	 1227.66	  224.80	    5.46	
4	8000	 1673.31	  225.80	    7.41	
4	10000	 1757.21	  225.84	    7.78	
4	16000	 2019.02	  225.92	    8.94	
4	32000	 2261.92	  225.73	   10.02	
4	64000	 2214.69	  235.74	    9.39	
4	128000	 2464.04	  236.01	   10.44	
4	256000	 2527.80	  233.10	   10.84	
4	512000	 2543.00	  230.97	   11.01	
4	1024000	 2552.11	  221.90	   11.50	
4	2048000	 2418.94	  217.31	   11.13	
4	4096000	 2099.93	  219.13	    9.58	
4	5000000	 2189.09	  217.89	   10.05	
4	6000000	 2188.18	  221.96	    9.86	
4	8000000	 2143.39	  220.32	    9.73



8	1000	  342.83	  223.51	    1.53	
8	2000	  700.76	  224.32	    3.12	
8	4000	 1152.39	  224.78	    5.13	
8	8000	 2014.05	  225.77	    8.92	
8	10000	 2258.37	  225.90	   10.00	
8	16000	 2707.62	  225.85	   11.99	
8	32000	 3313.70	  225.83	   14.67	
8	64000	 4151.48	  235.73	   17.61	
8	128000	 4620.81	  232.48	   19.88	
8	256000	 4880.08	  228.97	   21.31	
8	512000	 4994.58	  227.66	   21.94	
8	1024000	 5050.78	  227.35	   22.22	
8	2048000	 4919.91	  226.07	   21.76	
8	4096000	 2654.77	  222.67	   11.92	
8	5000000	 2841.40	  217.38	   13.07	
8	6000000	 2359.81	  216.89	   10.88	
8	8000000	 2505.62	  215.52	   11.63

16	1000	  306.65	  204.46	    1.50	
16	2000	  584.91	  218.42	    2.68	
16	4000	  992.48	  219.39	    4.52	
16	8000	 1768.20	  186.44	    9.48	
16	10000	 1439.24	  219.27	    6.56	
16	16000	 1812.80	  219.34	    8.26	
16	32000	 2236.23	  225.83	    9.90	
16	64000	 2526.73	  225.48	   11.21	
16	128000	 4753.21	  225.80	   21.05	
16	256000	 4934.09	  224.96	   21.93	
16	512000	 5058.69	  228.88	   22.10	
16	1024000	 5161.51	  226.17	   22.82	
16	2048000	 5054.12	  220.56	   22.91	
16	4096000	 3516.48	  221.13	   15.90	
16	5000000	 3175.39	  218.32	   14.54	
16	6000000	 3114.34	  222.76	   13.98	
16	8000000	 2521.47	  224.92	   11.21









1000	 3381.86	  956.14	    3.54	 2337.60	 2337.60
2000	 3591.11	  962.13	    3.73	 4974.94	 4974.94
4000	 3658.40	  969.30	    3.77	10176.63	10176.62
8000	 3345.64	  972.04	    3.44	20324.03	20324.06
10000	 3386.66	  972.55	    3.48	25322.56	25322.59
16000	 3394.22	  973.56	    3.49	40221.53	40221.61
32000	 3139.17	  971.41	    3.23	80328.15	80328.17
64000	 2704.91	  966.31	    2.80	159988.07	159988.80
128000	 2673.91	  969.34	    2.76	320635.54	320634.72
256000	 2735.28	  968.21	    2.83	639254.77	639249.33
512000	 2726.67	  957.53	    2.85	1278436.39	1278399.04
1024000	 2439.85	  930.75	    2.62	2557644.14	2557302.87
2048000	 1342.00	  821.90	    1.63	5119405.26	5116796.27
4096000	 1360.11	  816.00	    1.67	10243291.87	10224862.49
5000000	 1282.86	  837.58	    1.53	12490616.34	12452292.20
6000000	 1410.74	  836.20	    1.69	14999713.22	14933482.54
8000000	 1356.04	  844.96	    1.60	19989059.34	19863764.99




